Date,EGP=X
2024-01-20 08:30:03,30.846961
2024-01-21 08:13:13,30.820759
2024-01-22 08:47:03,30.9014
2024-01-23 08:22:03,30.949901
2024-01-24 08:27:04,30.951602
2024-01-25 08:09:02,30.898706
2024-01-26 08:17:03,30.9042
2024-01-27 08:29:03,30.928437
2024-01-28 08:39:03,30.928437
2024-01-29 08:35:04,30.899401
2024-01-30 08:00:04,30.937302
2024-01-31 08:22:03,30.930299
2024-02-01 08:25:03,30.902103
2024-02-02 08:16:03,30.904199
2024-02-03 08:24:03,30.847097
2024-02-04 08:09:04,30.847097
2024-02-05 08:50:03,30.900801
2024-02-06 08:24:03,30.901571
2024-02-07 08:24:04,30.903301
2024-02-08 08:26:03,30.900098
2024-02-09 08:09:03,30.903597
2024-02-10 08:44:03,30.871307
2024-02-11 08:29:03,30.871307
2024-02-12 08:45:03,30.798905
2024-02-13 08:09:03,30.898028
2024-02-14 08:38:03,30.900906
2024-02-15 08:31:03,30.898102
2024-02-16 08:14:04,30.907503
2024-02-17 08:28:03,30.778938
2024-02-18 08:14:03,30.900765
2024-02-19 08:39:04,30.900432
2024-02-20 07:54:03,30.899502
2024-02-21 08:26:03,30.904381
2024-02-22 08:06:03,30.932905
2024-02-23 07:53:03,30.894296
2024-02-24 08:32:03,30.846676
2024-02-25 08:03:04,30.846676
2024-02-26 08:17:03,30.931302
2024-02-27 07:38:03,30.901696
2024-02-28 08:02:03,30.935402
2024-02-29 07:47:03,30.897697
2024-03-01 07:44:02,30.899499
2024-03-02 08:14:03,30.798194
2024-03-03 08:05:02,30.847114
2024-03-04 08:05:03,30.923804
2024-03-05 07:41:03,30.902604
2024-03-06 08:07:03,30.889005
2024-03-07 08:09:03,49.400071
2024-03-08 07:34:02,49.351103
2024-03-09 08:01:03,49.408433
2024-03-10 08:06:03,49.350327
2024-03-11 08:01:03,49.25189
2024-03-12 07:27:03,49.0462
2024-03-13 07:58:03,48.797401
2024-03-14 07:43:03,48.509758
2024-03-15 07:33:03,47.794901
2024-03-16 07:43:03,47.776502
2024-03-17 07:58:03,47.814242
2024-03-18 07:45:03,47.251099
2024-03-19 07:07:03,47.269103
2024-03-20 07:40:06,47.087234
2024-03-21 07:34:05,46.949011
2024-03-22 07:16:04,46.645502
2024-03-23 07:38:05,46.504671
2024-03-24 07:48:04,46.541304
2024-03-25 07:34:05,46.580402
2024-03-26 07:05:05,47.449241
2024-03-27 07:20:04,47.802796
2024-03-29 07:09:05,47.4658
2024-03-30 07:17:03,47.351757
2024-03-31 07:28:03,47.351757
2024-04-01 07:29:04,47.219981
2024-04-02 06:59:04,47.199955
2024-04-03 07:10:04,47.098878
2024-04-04 06:55:04,47.4091
2024-04-05 07:14:03,47.356031
2024-04-06 07:02:04,47.325499
2024-04-07 07:03:03,47.325499
2024-04-08 07:23:04,47.555802
2024-04-09 07:17:04,47.557503
2024-04-10 07:21:04,47.545463
2024-04-11 07:07:03,47.55033
2024-04-12 07:20:04,47.549197
2024-04-13 07:26:04,47.435933
2024-04-14 07:12:04,47.43584
2024-04-15 07:32:04,47.602699
2024-04-16 06:57:04,48.348583
2024-04-17 06:52:04,48.546197
2024-04-18 06:49:04,48.500947
2024-04-19 06:59:06,48.555189
2024-04-20 06:51:04,48.224732
2024-04-21 06:41:03,48.224732
2024-04-22 07:12:04,48.3596
2024-04-23 07:00:04,48.148896
